,job_name,company_name,location,job_type,job_time,Country,exp_level,exp_years,skills,ave_exp_years
0,Team leader survey,Alqotr,Riyadh,Not specified,Full Time,Saudi arabia,Not specified,Not specified,"IT,Software Development Sales,Retail Engineering - Telecom,Technology Sales Sales Skills Sales Target Information Technology (IT) Computer Science Customer Service Real Estate",0
1,Engineer,Confidential,Sheikh zayed,On-site,Full Time,Egypt,Entry Level,1 - 4,"Engineering - Construction,Civil,Architecture Architecture Applied Arts engineer Architecture Engineering Computer Science Arts Engineering Information Technology (IT) Software Development",2
2,Surveyor,Alqotr,Riyadh,Not specified,Full Time,Saudi arabia,Not specified,Not specified,"Engineering - Construction,Civil,Architecture Engineering - Mechanical,Electrical Engineering - Other Civil Engineering Engineering AutoCAD Architecture Construction Microsoft Office Surveying",0
3,Finance,International medical group,Mokattam,On-site,Full Time,Egypt,Experienced,1 - 3,"Accounting,Finance Accounting Communication skills Financial Time Management",2
4,CAD Draft,Alqotr,Riyadh,Not specified,Full Time,Saudi arabia,Not specified,Not specified,"Engineering - Construction,Civil,Architecture Creative,Design,Art Engineering - Mechanical,Electrical Engineering CAD Design Drafting Architecture AutoCAD Communication Skills",0
5,Interior Designer,Ikc company,New cairo,On-site,Full Time,Egypt,Experienced,2 - 5,"Engineering - Construction,Civil,Architecture Sales,Retail Design Interior Interior Design AutoCAD Architecture",3
6,HR Manager,South red sea shipyard,Cairo,On-site,Full Time,Egypt,Manager,7 - 15,"Human Resources Operations,Management Human Resources Hr manager Recruitment Management",11
7,Project Associate,Solutions by 42,Riyadh,Not specified,Full Time,Saudi arabia,Entry Level,Not specified,"IT,Software Development Project,Program Management Engineering - Telecom,Technology Project Management PMP Information Technology (IT) Computer Science Engineering Software Engineering Risk Management",0
8,Accountant,Golden inn,Cairo,On-site,Full Time,Egypt,Experienced,5 - 8,"Accounting,Finance Accounting Software Accounting Financial Analysis excel CMA Finance MS Excel MS General Ledger",6
9,Investment Banking Mananger,Dame recruitment,Riyadh,Not specified,Full Time,Saudi arabia,Experienced,Not specified,"Accounting,Finance Banking Operations,Management finance accounting financial analysis financial management banking management business administration",0
